seed,fluo_noise,model,z_lreg,beta,lr,time,ram,latent_dim,num_epochs,last_train_loss,last_val_loss,mae_xcal,mae_xrna,ari_train,ari_val,ari_cal_train,ari_cal_val,ari_rna_train,ari_rna_val,sil_train,sil_val,sil_cal_train,sil_cal_val,sil_rna_train,sil_rna_val,ba,ba_cal,ba_rna,prec,prec_cal,prec_rna,recall,recall_cal,recall_rna,f1,f1_cal,f1_rna,med_entropy_tr,med_entropy_val,med_entropy_tr_cal,med_entropy_val_cal,med_entropy_tr_rna,med_entropy_val_rna,kbet_train,kbet_val,kbet_train_cal,kbet_val_cal,kbet_train_rna,kbet_val_rna
2,1.0,hybrid_z,10000000.0,1.0,0.0001,469.6494443416596,3241.02734375,16,1192,1177.0708248465833,1177.0708248465833,0.0881203263998031,0.0003226100525353,0.4518459626879973,0.3841693284135025,0.4300197290372282,0.399318284529175,0.0121332644126856,0.0266993999682282,0.1954466,0.21060309,0.17548871,0.19017644,0.9428273,0.9450151,,0.9408733891387574,1.0,,0.9659677804689972,1.0,,0.9408733891387574,1.0,,0.951131905100862,1.0,0.0,0.4364698170641029,0.2422921890824148,0.2422921890824148,0.0,0.0,0.907,0.827,0.991,0.974,0.715,0.666
2,1.0,hybrid_z,100000000.0,1.0,0.0001,344.4703528881073,3265.8984375,16,880,1730.1257477825402,1730.1257477825402,0.0888094455003738,0.0002983437443617,0.4416513508079301,0.3945968610921883,0.4420006632179595,0.4323073250560792,0.0173725439595911,0.0199464529556586,0.3232925,0.3379769,0.09863692,0.105931915,0.6090572,0.6303974,,0.937279498752414,1.0,,0.96397173256441,1.0,,0.937279498752414,1.0,,0.9480246334252352,1.0,0.0,0.1943918578315762,0.3274449191544763,0.6343095546405662,0.0,0.0,0.839,0.764,0.999,0.991,0.639,0.51
2,1.0,hybrid_z,1000000000.0,1.0,0.0001,520.0391938686371,3272.375,16,1307,1350.3115916808326,1350.3115916808326,0.0888351127505302,0.0002882205299101,0.4410375933666685,0.3652374432082959,0.4319347024558021,0.3668821709153986,0.4162715859321494,0.0240719495725707,0.16573028,0.17864099,0.12095786,0.13377208,0.59149086,0.6140822,,0.9243847043603588,1.0,,0.9505253203865528,1.0,,0.9243847043603588,1.0,,0.9347503968862444,1.0,0.0,0.2422921890824148,0.2863969571159562,0.557438185027989,0.0,0.0,0.974,0.966,0.997,0.972,0.634,0.547
3,1.0,hybrid_z,10000000.0,1.0,0.0001,536.3368883132935,3271.1953125,16,1368,1417.0531429832174,1417.0531429832174,0.088563859462738,0.0003200401552021,0.4321796172674991,0.4243118933552112,0.4404883077644253,0.408146704780615,0.5475908709276154,0.5178193958013732,0.11739877,0.12292725,0.19039944,0.18747379,0.80628633,0.80481774,,0.9334192809053145,1.0,,0.959326424477978,1.0,,0.9334192809053145,1.0,,0.9438924131356528,1.0,0.0807931358959111,0.499915958164528,0.1943918578315762,0.3659236509002231,0.0,0.0,0.995,0.964,0.934,0.881,0.517,0.265
3,1.0,hybrid_z,100000000.0,1.0,0.0001,522.3463017940521,3270.83984375,16,1332,1456.6659757016782,1456.6659757016782,0.0890258029103279,0.0002754116430878,0.4294448544575336,0.4264715721177679,0.4355423359067278,0.3945629242981361,0.5117642906780685,0.4782223598294005,0.15336521,0.16388346,0.14416005,0.13649334,0.95305556,0.9533153,,0.914786889088565,1.0,,0.9364569439815752,1.0,,0.914786889088565,1.0,,0.9235313902531678,1.0,0.0,0.3274449191544763,0.3274449191544763,0.4021791902022729,0.0,0.0,0.987,0.97,0.987,0.963,0.744,0.547
3,1.0,hybrid_z,1000000000.0,1.0,0.0001,543.2350077629089,3277.3125,16,1388,1257.0140155258366,1257.0140155258366,0.0882986038923263,0.0002861811663024,0.4330463218929523,0.4017635597813423,0.4487937892556992,0.4012692756442672,0.0139433059590318,0.0244877299452586,0.20052907,0.2056863,0.05240609,0.048223946,0.38769993,0.38890964,,0.9143245953301818,1.0,,0.9403851766005136,1.0,,0.9143245953301818,1.0,,0.924532695347232,1.0,0.0,0.1943918578315762,0.4021791902022729,0.6343095546405662,0.0,0.0807931358959111,0.865,0.77,0.998,0.996,0.707,0.628
4,1.0,hybrid_z,10000000.0,1.0,0.0001,407.02537178993225,3267.79296875,16,1041,1630.7486927209925,1630.7486927209925,0.089481696486473,0.0003312860790174,0.4486779828963614,0.4366228614062485,0.4224695398123699,0.391970627493155,0.0150318984901446,0.0295402515862726,0.068227604,0.0716605,0.23060831,0.22793052,0.91431904,0.9111902,,0.9353508127093032,1.0,,0.9616944338192585,1.0,,0.9353508127093032,1.0,,0.945960945265334,1.0,0.1943918578315762,0.557438185027989,0.1943918578315762,0.3274449191544763,0.0,0.0,0.976,0.918,0.995,0.977,0.583,0.513
4,1.0,hybrid_z,100000000.0,1.0,0.0001,543.2633876800537,3265.1953125,16,1380,1030.5413231535736,1030.5413231535736,0.0885730683803558,0.0002814032777678,0.4429574702098518,0.4262406924033833,0.4297588819711197,0.4324331786493724,0.3274691252498766,0.427959960749492,0.1802411,0.1809388,0.15136261,0.15406121,0.47663513,0.4473896,,0.9230887037490813,1.0,,0.9537609370946468,1.0,,0.9230887037490813,1.0,,0.934983515351594,1.0,0.0,0.3659236509002231,0.2422921890824148,0.3659236509002231,0.0,0.0,0.878,0.751,0.993,0.976,0.613,0.495
4,1.0,hybrid_z,1000000000.0,1.0,0.0001,293.1905303001404,3265.421875,16,752,1977.101641907944,1977.101641907944,0.0903346017003059,0.0002771046711131,0.4399466884855571,0.4327522833825924,0.4132335366027128,0.4100440983859007,0.0179764451463098,0.0373179010794328,0.23394209,0.23112668,0.0739775,0.07604896,0.63948244,0.63383275,,0.9035418198154048,1.0,,0.9314413175962674,1.0,,0.9035418198154048,1.0,,0.914112878914187,1.0,0.0,0.1414405425418206,0.3659236509002231,0.557438185027989,0.0,0.0,0.9,0.821,1.0,0.998,0.59,0.495
5,1.0,hybrid_z,10000000.0,1.0,0.0001,460.5682165622711,3267.51953125,16,1184,1685.4615956310884,1685.4615956310884,0.0895816758275032,0.0002811312442645,0.4356180805297294,0.4195929870646219,0.4349983242511535,0.4155118311196192,0.0201459294042895,0.0397291511510542,0.124909736,0.123525865,0.1486694,0.15195924,0.9295626,0.93069154,,0.9344937887038532,1.0,,0.963001600606376,1.0,,0.9344937887038532,1.0,,0.9459083446958092,1.0,0.0,0.499915958164528,0.3274449191544763,0.3659236509002231,0.0,0.0,0.996,0.99,0.976,0.945,0.602,0.566
